Invoice external ID,External ID,Subscription external ID,Subscription set external ID,Type,Amount in cents,Plan,Service period start,Service period end,Quantity,Proration,Discount code,Discount amount,Tax amount,Description,Transaction fee,Account Code,Transaction fees currency,Discount description,Event order,Balance transfer,Proration type
inv_040,,sub_0007,,Subscription,700,platinum_monthly,2024-09-09,2024-10-09,1,FALSE,,0,0,,0,,,,,,
inv_041,,sub_0007,,Subscription,700,platinum_monthly,2024-10-09,2024-11-09,1,FALSE,,0,0,,0,,,,,,
inv_042,,sub_0007,,Subscription,700,platinum_monthly,2024-11-09,2024-12-09,1,FALSE,,0,0,,0,,,,,,
inv_043,,sub_0007,,Subscription,700,platinum_monthly,2024-12-10,2025-01-10,1,FALSE,,0,0,,0,,,,,,
inv_044,,sub_0008,,Subscription,1500,gold_biannual,2024-08-18,2025-02-18,1,FALSE,50-OFF,1500,0,,0,,,,,,
inv_045,,sub_0008,,Subscription,1500,gold_biannual,2025-02-17,2025-08-17,1,FALSE,50-OFF,1500,0,,0,,,,,,
inv_046,,sub_0009,,Subscription,500,gold_monthly,2024-09-23,2024-10-23,1,FALSE,,0,0,,0,,,,,,
inv_047,,sub_0009,,Subscription,1000,gold_monthly,2024-10-23,2024-11-23,2,FALSE,,0,0,,0,,,,,,
inv_048,,sub_0009,,Subscription,700,platinum_monthly,2025-03-26,2025-04-26,1,FALSE,,0,0,,0,,,,,,
inv_049,,sub_0009,,Subscription,700,platinum_monthly,2025-04-26,2025-05-26,1,FALSE,,0,0,,0,,,,,,
inv_050,,sub_0010,,Subscription,700,platinum_monthly,2024-10-02,2024-11-02,1,FALSE,,0,0,,0,,,,,,
inv_051,,sub_0010,,Subscription,700,platinum_monthly,2024-11-02,2024-12-02,1,FALSE,,0,0,,0,,,,,,
inv_052,,sub_0010,,Subscription,700,platinum_monthly,2024-12-03,2025-01-03,1,FALSE,,0,0,,0,,,,,,
inv_053,,sub_0010,,Subscription,700,platinum_monthly,2025-01-01,2025-02-01,1,FALSE,,0,0,,0,,,,,,
inv_054,,sub_0010,,Subscription,-350,platinum_monthly,2025-01-16,2025-02-16,1,TRUE,,0,0,,0,,,,,,
inv_054,,sub_0010,,Subscription,250,gold_monthly,2025-01-16,2025-02-16,1,TRUE,,0,0,,0,,,,,,
inv_055,,sub_0010,,Subscription,500,gold_monthly,2025-02-01,2025-03-01,1,FALSE,,0,0,,0,,,,,,
inv_056,,sub_0010,,Subscription,500,gold_monthly,2025-03-03,2025-04-03,1,FALSE,,0,0,,0,,,,,,
inv_057,,sub_0011,,Subscription,1500,gold_quarterly,2024-10-11,2025-01-11,1,FALSE,,0,0,,0,,,,,,
inv_058,,sub_0011,,Subscription,1500,gold_quarterly,2025-01-10,2025-04-10,1,FALSE,,0,0,,0,,,,,,
inv_059,,sub_0011,,Subscription,1500,gold_quarterly,2025-04-12,2025-07-12,1,FALSE,,0,0,,0,,,,,,
inv_060,,sub_0011,,Subscription,1500,gold_quarterly,2025-04-12,2025-07-12,1,TRUE,,0,0,,0,,,,,,
inv_061,,sub_0012,,Subscription,8400,platinum_annual,2024-10-21,2025-10-21,1,FALSE,,,,,,,,,,,
inv_062,,sub_0013,,Subscription,500,gold_monthly,2024-11-04,2024-12-04,1,FALSE,,,,,,,,,,,
inv_063,,sub_0013,,Subscription,500,gold_monthly,2024-12-05,2025-01-05,1,FALSE,,,,,,,,,,,
inv_064,,sub_0013,,Subscription,516,gold_monthly,2024-12-20,2025-01-20,3,TRUE,,,,,,,,,,,
inv_065,,sub_0013,,Subscription,1500,gold_monthly,2025-01-03,2025-02-03,3,FALSE,,,,,,,,,,,
inv_066,,sub_0013,,Subscription,2000,gold_monthly,2025-02-03,2025-03-03,4,FALSE,,,,,,,,,,,
inv_067,,sub_0013,,Subscription,2000,gold_monthly,2025-03-05,2025-04-05,4,FALSE,,,,,,,,,,,
inv_068,,sub_0013,,Subscription,-774,gold_monthly,2025-03-20,2025-04-20,-3,TRUE,,,,,,,,,,,
inv_069,,sub_0013,,Subscription,500,gold_monthly,2025-04-05,2025-05-05,1,FALSE,,,,,,,,,,,
inv_070,,sub_0013,,Subscription,500,gold_monthly,2025-05-05,2025-06-05,1,FALSE,,,,,,,,,,,
inv_071,,sub_0014,,Subscription,250,gold_monthly,2024-11-13,2024-12-13,1,FALSE,50-OFF,250,,,,,,,,,
inv_071,,sub_0014a,,Subscription,350,platinum_monthly,2024-11-13,2024-12-13,1,FALSE,50-OFF,350,,,,,,,,,
inv_072,,sub_0014,,Subscription,500,gold_monthly,2024-12-14,2025-01-14,2,FALSE,50-OFF,500,,,,,,,,,
inv_072,,sub_0014a,,Subscription,350,platinum_monthly,2024-12-14,2025-01-14,1,FALSE,50-OFF,350,,,,,,,,,
inv_073,,sub_0014,,Subscription,750,gold_monthly,2025-01-12,2025-02-12,3,FALSE,50-OFF,750,,,,,,,,,
inv_073,,sub_0014a,,Subscription,350,platinum_monthly,2025-01-12,2025-02-12,1,FALSE,50-OFF,350,,,,,,,,,
inv_074,,sub_0014,,Subscription,500,gold_monthly,2025-02-12,2025-03-12,2,FALSE,50-OFF,500,,,,,,,,,
inv_074,,sub_0014a,,Subscription,350,platinum_monthly,2025-02-12,2025-03-12,1,FALSE,50-OFF,350,,,,,,,,,
inv_075,,sub_0014,,Subscription,750,gold_monthly,2025-03-14,2025-04-14,3,FALSE,50-OFF,750,,,,,,,,,
inv_075,,sub_0014a,,Subscription,350,platinum_monthly,2025-03-14,2025-04-14,1,FALSE,50-OFF,350,,,,,,,,,
inv_076,,sub_0014,,Subscription,750,gold_monthly,2025-04-14,2025-05-14,3,FALSE,50-OFF,750,,,,,,,,,
inv_076,,sub_0014a,,Subscription,350,platinum_monthly,2025-04-14,2025-05-14,1,FALSE,50-OFF,350,,,,,,,,,
inv_077,,sub_0014,,Subscription,750,gold_monthly,2025-05-14,2025-06-14,3,FALSE,50-OFF,750,,,,,,,,,
inv_077,,sub_0014a,,Subscription,350,platinum_monthly,2025-05-14,2025-06-14,1,FALSE,50-OFF,350,,,,,,,,,
inv_078,,sub_0015,,Subscription,3000,gold_biannual,2024-12-13,2025-06-13,1,FALSE,,,,,,,,,,,
inv_079,,sub_0016,,Subscription,6000,gold_biannual,2025-01-18,2025-07-18,2,FALSE,,,,,,,,,,,
inv_080,,sub_0017,,Subscription,6000,gold_annual,2025-02-17,2026-02-17,1,FALSE,,,,,,,,,,,
inv_081,,sub_0018,,Subscription,700,platinum_monthly,2025-03-04,2025-04-04,1,FALSE,,,,,,,,,,,
inv_082,,sub_0018,,Subscription,700,platinum_monthly,2025-04-04,2025-05-04,1,FALSE,,,,,,,,,,,
inv_083,,sub_0018,,Subscription,700,platinum_monthly,2025-05-04,2025-06-04,1,FALSE,,,,,,,,,,,
inv_084,,sub_0019,,Subscription,1500,gold_monthly,2025-03-25,2025-04-25,3,FALSE,,,,,,,,,,,
inv_085,,sub_0019,,Subscription,500,gold_monthly,2025-04-25,2025-05-25,1,FALSE,,,,,,,,,,,
inv_086,,sub_0020,,Subscription,1500,gold_quarterly,2025-04-15,2025-07-15,1,FALSE,,,,,,,,,,,
inv_087,,sub_0021,,Subscription,3000,gold_biannual,2025-04-20,2025-10-20,1,FALSE,,,,,,,,,,,
inv_088,,sub_0021a,,Subscription,1400,platinum_monthly,2025-04-27,2025-05-27,2,FALSE,,,,,,,,,,,
